motif_id,motif_name,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
M1098-1.02,dve,-0.07203806,0.07203806,0.21734978,0.252169
M4677-1.02,kni,-0.049196336,0.049196336,0.0836353,0.10585154
M5059-1.02,knrl,-0.04833738,0.04833738,0.29700565,0.34504044
M4934-1.02,eg,-0.047612358,0.047612358,0.30294287,0.36689124
M5040-1.02,hth,0.046361562,0.046361562,0.32207322,0.34835768
M4823-1.02,CG13897,-0.045468193,0.045468193,0.24932472,0.3479675
M5207-1.02,Sox14,-0.04483389,0.04483389,0.12032338,0.17061448
M2328-1.02,SU(HW),-0.04355166,0.04355166,0.17241324,0.19012596
M4633-1.02,(bs)_(Homo_sapiens)_(DBD_0.96),-0.03572995,0.03572995,0.20470417,0.23025236
M4866-1.02,CG4404,-0.03571545,0.03571545,0.37832373,0.47771302
M1849-1.02,Cf2,-0.035212275,0.035212275,0.28954116,0.36693493
M5241-1.02,tin,-0.034149874,0.034149874,0.15752259,0.17740917
M5039-1.02,Hsf,-0.034112725,0.034112725,0.16510883,0.20804349
M0641-1.02,dmrt99B,-0.03373529,0.03373529,0.08841498,0.12731546
M5233-1.02,sima,-0.03320116,0.03320116,0.11357025,0.16207726
M5107-1.02,Mio,-0.03304184,0.03304184,0.074228264,0.097336195
M1095-1.02,bap,-0.03291172,0.03291172,0.18595763,0.20614913
M4964-1.02,fd64A,-0.031970166,0.031970166,0.26676038,0.36762506
M2259-1.02,opa,0.031720918,0.031720918,0.37039062,0.48833483
M5111-1.02,FBgn0263112,-0.030832695,0.030832695,0.050889146,0.06301328
M4872-1.02,CG5953,-0.029999904,0.029999904,0.08571513,0.097924836
M1470-1.02,ftz-f1,-0.029284451,0.029284451,0.04763448,0.06739056
M1090-1.02,ems,0.02850923,0.02850923,0.056864936,0.062193226
M6277-1.02,(Pdp1)_(Homo_sapiens)_(DBD_0.68),-0.027882913,0.027882913,0.16143307,0.18926047
M4924-1.02,Dref,0.027860073,0.027860073,0.15272026,0.18799949
M4949-1.02,E(spl),-0.0259658,0.0259658,0.050175622,0.0561772
M1101-1.02,Vsx1,-0.025464186,0.025464186,0.055778038,0.062096134
M4966-1.02,Fer1,-0.025060007,0.025060007,0.14802322,0.19646537
M1869-1.02,(grn)_(Homo_sapiens)_(DBD_0.93),-0.024764253,0.024764253,0.19702199,0.22262816
M5185-1.02,sd,-0.024725405,0.024725405,0.06520508,0.07705672
M5149-1.02,PHDP,-0.024402352,0.024402352,0.041703247,0.05541273
M4971-1.02,Fer3,-0.022961995,0.022961995,0.083618924,0.13417579
M5265-1.02,vfl,-0.022883981,0.022883981,0.10563331,0.13194802
M1093-1.02,so,-0.022881117,0.022881117,0.16900179,0.18914706
M4911-1.02,dimm,-0.022616243,0.022616243,0.064496525,0.08482565
M4771-1.02,br,-0.022565344,0.022565344,0.10826214,0.116022214
M0713-1.02,Ets21C,-0.022497246,0.022497246,0.054945704,0.07100964
M1223-1.02,(ey)_(Mus_musculus)_(DBD_0.89),-0.022188215,0.022188215,0.0894624,0.109756395
M2325-1.02,BEAF-32,-0.021819279,0.021819279,0.08283165,0.13697807
M5052-1.02,ken,-0.021769725,0.021769725,0.035074387,0.04786113
M4676-1.02,Myb,-0.021592656,0.021592656,0.21650042,0.28281185
M5348-1.02,(CG34340)_(Homo_sapiens)_(DBD_0.93),-0.021510605,0.021510605,0.17129028,0.19451477
M4889-1.02,FBgn0261705,-0.020828227,0.020828227,0.037367634,0.073094286
M5036-1.02,Hr78,-0.020593075,0.020593075,0.041445766,0.060653273
M1092-1.02,Lim3,-0.02047678,0.02047678,0.078730434,0.09411435
M4850-1.02,CG33557,0.020229217,0.020229217,0.06429864,0.07684251
M5121-1.02,odd,-0.019959997,0.019959997,0.07316483,0.1060603
M6537-1.02,(yps)_(Homo_sapiens)_(DBD_0.82),-0.01984691,0.01984691,0.043056153,0.05280937
M1946-1.02,ovo,-0.019689295,0.019689295,0.090791896,0.10041233
M5152-1.02,phol,-0.01960277,0.01960277,0.060258828,0.09107869
M4996-1.02,Hand,-0.019297555,0.019297555,0.061959304,0.09172854
M6410-1.02,(toy)_(Homo_sapiens)_(DBD_0.84),-0.019042194,0.019042194,0.046902973,0.07070395
M2026-1.02,caup,-0.018882334,0.018882334,0.06648194,0.08618284
M0737-1.02,(fd96Ca)_(Mus_musculus)_(DBD_0.88),-0.01886762,0.01886762,0.0756235,0.09688275
M4923-1.02,Dr,-0.018859327,0.018859327,0.032928903,0.045196116
M4670-1.02,CTCF,-0.018833077,0.018833077,0.19538544,0.263733
M4859-1.02,CG3838,-0.018230477,0.018230477,0.11190278,0.14643073
M5172-1.02,run,0.018069409,0.018069409,0.13031574,0.16590531
M5054-1.02,klu,-0.017865544,0.017865544,0.23244545,0.26938155
M0135-1.02,Xrp1,-0.017857734,0.017857734,0.110371225,0.1274107
M1850-1.02,usp,-0.017060015,0.017060015,0.04977572,0.05606085
M5189-1.02,shn,-0.017018314,0.017018314,0.06295622,0.0802183
M5186-1.02,sens-2,-0.016938042,0.016938042,0.06780219,0.09476538
M0736-1.02,(Mnf)_(Mus_musculus)_(DBD_0.79),-0.016799739,0.016799739,0.04083756,0.046775196
M6186-1.02,(CG7786)_(Homo_sapiens)_(DBD_0.56),-0.016699612,0.016699612,0.14777881,0.1648738
M5099-1.02,Mad,0.016684288,0.016684288,0.08360629,0.1302853
M1529-1.02,(CG9727)_(Mus_musculus)_(DBD_0.51),-0.016389322,0.016389322,0.07439048,0.088983245
M2013-1.02,Six4,-0.016130373,0.016130373,0.03010268,0.04238256
M6374-1.02,(scro)_(Homo_sapiens)_(DBD_0.93),0.016012285,0.016012285,0.122301385,0.16284709
M0596-1.02,(mip120)_(Drosophila_yakuba)_(DBD_0.99),-0.015942166,0.015942166,0.11990351,0.14646554
M6235-1.02,(croc)_(Homo_sapiens)_(DBD_0.92),-0.01591733,0.01591733,0.105469204,0.12970397
M4913-1.02,disco-r,-0.015821982,0.015821982,0.072133444,0.09202944
M2251-1.02,gt,0.015484423,0.015484423,0.14999524,0.19604227
M5222-1.02,sv,-0.0154646905,0.0154646905,0.07996541,0.09730527
M4735-1.02,amos,-0.015425019,0.015425019,0.23785995,0.30152202
M5102-1.02,Med,-0.015396293,0.015396293,0.15643488,0.17694253
M5065-1.02,l(3)neo38,-0.0153831495,0.0153831495,0.05241562,0.069612026
M4800-1.02,CG10267,-0.0151896775,0.0151896775,0.025877325,0.038945377
M2021-1.02,bcd,-0.015142069,0.015142069,0.02337507,0.033505138
M4885-1.02,CG8765,0.01481094,0.01481094,0.081170954,0.10467867
M5158-1.02,Poxm,-0.014582513,0.014582513,0.04756898,0.06792392
M5151-1.02,pho,-0.014479583,0.014479583,0.09771853,0.11911792
