motif_id,motif_name,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
M5059-1.02,knrl,-0.09873476,0.09873476,0.691984,0.8074942
M2328-1.02,SU(HW),-0.0960653,0.0960653,0.30446857,0.35343236
M0302-1.02,(A3-3)_(Mus_musculus)_(DBD_0.56),-0.076168165,0.076168165,0.19826531,0.23026358
M5265-1.02,vfl,-0.072835945,0.072835945,0.22838172,0.2897722
M4823-1.02,CG13897,-0.05336228,0.05336228,0.16737388,0.17670062
M5020-1.02,HLHm5,-0.052027334,0.052027334,0.14447398,0.16465911
M5119-1.02,oc,-0.04371123,0.04371123,0.20283361,0.25825226
M1093-1.02,so,-0.04050905,0.04050905,0.07968851,0.17946942
M6374-1.02,(scro)_(Homo_sapiens)_(DBD_0.93),-0.040476482,0.040476482,0.18024297,0.20048226
M4899-1.02,crp,-0.037934564,0.037934564,0.092726395,0.09459267
M4924-1.02,Dref,-0.037315354,0.037315354,0.1134118,0.13484904
M4971-1.02,Fer3,-0.035325516,0.035325516,0.13468206,0.16840462
M2259-1.02,opa,-0.03460947,0.03460947,0.22025573,0.28003675
M6235-1.02,(croc)_(Homo_sapiens)_(DBD_0.92),-0.033526063,0.033526063,0.13383122,0.16287537
M4964-1.02,fd64A,-0.03325845,0.03325845,0.13577127,0.18216032
M4900-1.02,cwo,-0.031992845,0.031992845,0.094591886,0.11671114
M1099-1.02,Ptx1,0.0317076,0.0317076,0.082465135,0.104518324
M5217-1.02,ss,0.030928135,0.030928135,0.23745257,0.2549691
M5039-1.02,Hsf,-0.029069973,0.029069973,0.20009045,0.24602692
M2251-1.02,gt,0.028802194,0.028802194,0.20275788,0.23800038
M1628-1.02,(org-1)_(Mus_musculus)_(DBD_0.70),-0.02862539,0.02862539,0.17467433,0.223878
M2026-1.02,caup,-0.02857009,0.02857009,0.09047025,0.103199586
M5241-1.02,tin,-0.028569238,0.028569238,0.08997612,0.12743108
M2006-1.02,nub,0.027825069,0.027825069,0.05779458,0.06909422
M5097-1.02,luna,0.027050378,0.027050378,0.10326424,0.19220047
M5022-1.02,HLHm7,-0.026941897,0.026941897,0.039695065,0.04137828
M4983-1.02,GATAe,-0.026781209,0.026781209,0.086223446,0.12281437
M4949-1.02,E(spl),-0.02659706,0.02659706,0.07302402,0.08138617
M2016-1.02,achi,-0.026523184,0.026523184,0.09318329,0.105084024
M1094-1.02,zen2,-0.026404422,0.026404422,0.048041187,0.058312595
M5065-1.02,l(3)neo38,-0.026208075,0.026208075,0.035323873,0.037742116
M5102-1.02,Med,-0.026175207,0.026175207,0.22026731,0.2878142
M6501-1.02,(HLH3B)_(Homo_sapiens)_(DBD_0.81),0.025891008,0.025891008,0.116051175,0.13058913
M5209-1.02,Sp1,0.025668232,0.025668232,0.03950156,0.055131298
M2061-1.02,vvl,-0.02530378,0.02530378,0.10164642,0.1303892
M5272-1.02,vri,-0.023112522,0.023112522,0.06208489,0.0846796
M4939-1.02,Eip93F,0.023064848,0.023064848,0.084696405,0.09729351
M5099-1.02,Mad,0.022966973,0.022966973,0.1585676,0.189328
M4913-1.02,disco-r,-0.022727896,0.022727896,0.080143206,0.093398914
M5213-1.02,srp,0.022638652,0.022638652,0.06413181,0.08131935
M4872-1.02,CG5953,-0.022546832,0.022546832,0.040214956,0.056516964
M4747-1.02,Atf-2,-0.0225193,0.0225193,0.0513371,0.060529657
M6537-1.02,(yps)_(Homo_sapiens)_(DBD_0.82),-0.022290321,0.022290321,0.084418476,0.09908803
M4720-1.02,abd-A,-0.022140678,0.022140678,0.083677724,0.118098386
M4800-1.02,CG10267,-0.021217879,0.021217879,0.053376295,0.06485036
M0580-1.02,(dan)_(Bombyx_mori)_(DBD_0.85),-0.0210017,0.0210017,0.24764928,0.27781302
M5172-1.02,run,-0.020659752,0.020659752,0.05660444,0.07735935
M5208-1.02,Sox15,0.020460851,0.020460851,0.19502245,0.21943714
M4934-1.02,eg,0.02001145,0.02001145,0.17032711,0.2494877
M5180-1.02,Scr,-0.019881774,0.019881774,0.081177026,0.11407214
M4859-1.02,CG3838,0.01954232,0.01954232,0.116846606,0.12983999
M5142-1.02,pad,0.019525489,0.019525489,0.23405133,0.26397893
M1869-1.02,(grn)_(Homo_sapiens)_(DBD_0.93),-0.019448753,0.019448753,0.11385638,0.15622944
M0319-1.02,(CrebB-17A)_(Mus_musculus)_(DBD_0.79),-0.019334665,0.019334665,0.13085593,0.15059386
M4923-1.02,Dr,-0.019117685,0.019117685,0.086702265,0.10833267
M4526-1.02,(mor)_(Homo_sapiens)_(DBD_0.89),-0.018903753,0.018903753,0.04738728,0.061729275
M5025-1.02,HLHmgamma,-0.018567963,0.018567963,0.051333424,0.06616681
M4633-1.02,(bs)_(Homo_sapiens)_(DBD_0.96),0.018357564,0.018357564,0.08928743,0.1122138
M4906-1.02,FBgn0263118,-0.018225538,0.018225538,0.06582504,0.07893865
M4921-1.02,Doc2,-0.018150376,0.018150376,0.14400111,0.15307473
M4802-1.02,CG10904,0.017761538,0.017761538,0.16301404,0.19578543
M4954-1.02,Ets98B,-0.01750943,0.01750943,0.18961515,0.20956181
M5227-1.02,tap,-0.017106326,0.017106326,0.063772686,0.09331377
M4675-1.02,Mef2,-0.016900253,0.016900253,0.056807112,0.08442155
M4673-1.02,fkh,-0.016497403,0.016497403,0.06530698,0.0817138
M4670-1.02,CTCF,0.016456956,0.016456956,0.03338226,0.05985671
M4886-1.02,CG9437,-0.016292024,0.016292024,0.05354293,0.08591584
M5107-1.02,Mio,-0.016260276,0.016260276,0.111244395,0.14277224
M2060-1.02,FBgn0261930,0.01601071,0.01601071,0.07130842,0.087073356
M4842-1.02,CG31782,-0.01598467,0.01598467,0.029507913,0.04449714
M4997-1.02,hb,-0.01592891,0.01592891,0.19959022,0.22969435
M2263-1.02,ttk,0.015669608,0.015669608,0.036257543,0.04723199
M4898-1.02,crol,0.015654162,0.015654162,0.062319055,0.07952967
M5060-1.02,Kr,-0.015618181,0.015618181,0.08605025,0.12376384
M1519-1.02,(NFAT)_(Gallus_gallus)_(DBD_0.58),-0.015607732,0.015607732,0.04565013,0.06082028
M1858-1.02,Eip74EF,-0.0156049635,0.0156049635,0.04777204,0.051724385
M0967-1.02,(CG34367)_(Mus_musculus)_(DBD_0.96),-0.015188896,0.015188896,0.0314431,0.04149518
M4860-1.02,CG3919,-0.015177994,0.015177994,0.08458133,0.098420165
M1223-1.02,(ey)_(Mus_musculus)_(DBD_0.89),0.014944202,0.014944202,0.02769756,0.030633986
M4897-1.02,CrebA,-0.014846681,0.014846681,0.050346103,0.058705084
